Description,Sector Name,Sector Code
A company that specializes in exploration and production of oil and natural gas resources around the world.,Energy,10
"A leading provider of renewable energy solutions, offering wind, solar, and other clean energy technologies.",Energy,10
"A major player in the energy industry, with a focus on refining, marketing, and distributing petroleum products.",Energy,10
"A company that develops, owns, and operates oil and gas pipelines and storage facilities.",Energy,10
"A vertically integrated energy company that engages in all aspects of the oil and gas value chain, from exploration to production to refining and marketing.",Energy,10
"A provider of energy services and solutions, with expertise in energy efficiency, sustainability, and renewable energy.",Energy,10
"A producer and marketer of coal, with operations in several countries around the world.",Energy,10
A company that specializes in the development of advanced technologies for the production and use of clean energy.,Energy,10
"A diversified energy company with operations in multiple areas, including oil and gas exploration, refining, and marketing, as well as renewable energy.",Energy,10
"A provider of natural gas and electricity to residential, commercial, and industrial customers in several countries around the world.",Energy,10
"A company that operates in the midstream and downstream segments of the energy industry, with a focus on transportation and storage of oil and gas.",Energy,10
"A producer of crude oil and natural gas liquids, with assets in several regions around the world.",Energy,10
"A company that specializes in the construction and operation of renewable energy projects, including wind and solar farms.",Energy,10
"A provider of engineering, procurement, and construction services for energy infrastructure projects, including pipelines, power plants, and refineries.",Energy,10
"A provider of energy trading and risk management services, with expertise in commodity markets and financial derivatives.",Energy,10
"A company that specializes in the development of energy storage technologies, including batteries and other advanced storage solutions.",Energy,10
"A provider of energy consulting services, offering expertise in regulatory compliance, market analysis, and energy management.",Energy,10
"A producer and marketer of liquefied natural gas (LNG), with operations in several regions around the world.",Energy,10
"A company that operates in the upstream segment of the energy industry, with a focus on exploration and production of oil and gas reserves.",Energy,10
"A provider of natural gas and electricity generation and distribution services, with a focus on sustainable and renewable energy solutions.",Energy,10
"A manufacturer and distributor of industrial metals, including steel, aluminum, and copper.",Materials,15
"A provider of specialty chemicals and materials, with a focus on high-performance polymers and advanced composites.",Materials,15
"A producer of building materials, including cement, concrete, and aggregates, with operations in several countries around the world.",Materials,15
"A provider of packaging solutions, including paper, plastic, and metal packaging, for a wide range of industries.",Materials,15
"A manufacturer and distributor of industrial gases, including oxygen, nitrogen, and helium, for use in a variety of applications.",Materials,15
"A company that specializes in the production of industrial minerals, including graphite, talc, and kaolin, for use in a variety of industries.",Materials,15
"A provider of specialty glass and ceramics, with expertise in advanced materials for the electronics, telecommunications, and aerospace industries.",Materials,15
"A manufacturer and distributor of specialty paper products, including packaging, printing, and labeling materials.",Materials,15
"A producer of agricultural chemicals and fertilizers, with a focus on sustainable and environmentally-friendly solutions.",Materials,15
"A provider of advanced materials and coatings for use in the automotive, aerospace, and defense industries.",Materials,15
"A manufacturer of electronic components and materials, including semiconductors, sensors, and circuit boards.",Materials,15
"A producer of chemicals and polymers, with operations in several countries around the world, serving a wide range of industries.",Materials,15
"A provider of mining and extraction services, with expertise in precious metals, base metals, and minerals.",Materials,15
"A company that specializes in the production of wood products, including lumber, plywood, and engineered wood.",Materials,15
"A manufacturer and distributor of industrial adhesives and sealants, with a focus on high-performance applications.",Materials,15
"A provider of environmental and waste management services, with expertise in recycling, disposal, and resource recovery.",Materials,15
"A company that specializes in the production of ceramic tiles, porcelain, and other building materials for the construction industry.",Materials,15
"A manufacturer and distributor of polymers and plastics, serving a wide range of industries, including automotive, construction, and packaging.",Materials,15
"A producer of industrial coatings and paints, with expertise in corrosion protection, fire resistance, and thermal management.",Materials,15
"A provider of engineering and consulting services for the materials industry, with expertise in materials science, process engineering, and supply chain management.",Materials,15
"A manufacturer of heavy machinery, including construction equipment, mining equipment, and industrial vehicles.",Industrials,20
"A provider of aerospace and defense solutions, with expertise in aircraft manufacturing, maintenance, and logistics.",Industrials,20
"A company that specializes in the production of electrical and electronic components for a wide range of industries, including automotive, industrial, and consumer electronics.",Industrials,20
"A provider of engineering and construction services, with expertise in infrastructure, transportation, and energy projects.",Industrials,20
"A manufacturer of industrial automation and control systems, with a focus on robotics, sensors, and machine vision technologies.",Industrials,20
"A producer of industrial gases, including oxygen, nitrogen, and helium, for use in a variety of applications.",Industrials,20
"A provider of logistics and supply chain management services, including warehousing, distribution, and transportation.",Industrials,20
"A manufacturer of pumps, valves, and other fluid handling equipment, serving a wide range of industries, including oil and gas, chemical, and water management.",Industrials,20
"A provider of environmental and sustainability solutions, with expertise in waste management, recycling, and renewable energy.",Industrials,20
"A company that specializes in the production of advanced materials and composites, with applications in aerospace, automotive, and other industries.",Industrials,20
"A provider of safety and security solutions, including fire protection, access control, and surveillance systems.",Industrials,20
"A manufacturer of industrial chemicals, including solvents, adhesives, and coatings, for a wide range of applications.",Industrials,20
"A provider of testing and inspection services for a variety of industries, including aerospace, automotive, and consumer products.",Industrials,20
"A producer of industrial ceramics, including refractory materials, wear-resistant components, and advanced ceramics for electronic applications.",Industrials,20
"A provider of maintenance, repair, and overhaul services for industrial equipment and machinery, including engines, turbines, and compressors.",Industrials,20
"A manufacturer of industrial fasteners and components, including screws, bolts, and nuts, for a wide range of applications.",Industrials,20
"A provider of energy efficiency solutions, with expertise in building automation, lighting, and HVAC systems.",Industrials,20
"A producer of industrial coatings and paints, with applications in aerospace, automotive, and construction industries.",Industrials,20
"A manufacturer of industrial sensors and instruments, including pressure sensors, temperature sensors, and flow meters, for a variety of applications.",Industrials,20
"A provider of engineering and consulting services for the industrial sector, with expertise in process optimization, automation, and digital transformation.",Industrials,20
"A producer of luxury fashion and accessories, with a focus on high-end apparel, handbags, and jewelry.",Consumer Discretionary,25
"A provider of online marketplace and e-commerce services, offering a wide range of consumer products, including electronics, apparel, and home goods.",Consumer Discretionary,25
"A company that specializes in the production of home furnishings and decor, including furniture, lighting, and textiles.",Consumer Discretionary,25
"A provider of entertainment and media services, including television, film, and music production, distribution, and licensing.",Consumer Discretionary,25
